iter	Passed	Remaining
403	11056	5363
404	11082	5336
405	11112	5310
406	11141	5283
407	11169	5256
408	11196	5228
409	11227	5202
410	11252	5174
411	11279	5147
412	11304	5118
413	11329	5090
414	11357	5063
415	11386	5036
416	11412	5008
417	11438	4980
418	11473	4956
419	11498	4927
420	11523	4899
421	11548	4871
422	11574	4843
423	11601	4815
424	11626	4787
425	11654	4760
426	11680	4732
427	11710	4705
428	11738	4679
429	11765	4651
430	11793	4624
431	11821	4597
432	11849	4570
433	11881	4544
434	11907	4516
435	11949	4494
436	11978	4468
437	12007	4441
438	12035	4414
439	12062	4386
440	12087	4358
441	12112	4329
442	12140	4302
443	12165	4274
444	12191	4246
445	12218	4218
446	12250	4193
447	12275	4164
448	12302	4137
449	12336	4112
450	12361	4083
451	12385	4055
452	12411	4027
453	12441	4000
454	12470	3974
455	12499	3947
456	12525	3919
457	12557	3893
458	12582	3865
459	12611	3838
460	12639	3810
461	12666	3783
462	12694	3756
463	12720	3728
464	12748	3701
465	12774	3673
466	12800	3645
467	12830	3618
468	12854	3590
469	12882	3563
470	12908	3535
471	13043	3537
472	13109	3519
473	13136	3491
474	13172	3466
475	13197	3438
476	13229	3411
477	13257	3383
478	13287	3356
479	13321	3330
480	13347	3302
481	13373	3274
482	13401	3246
483	13428	3218
484	13452	3189
485	13480	3162
486	13510	3134
487	13538	3107
488	13570	3080
489	13597	3052
490	13627	3025
491	13658	2998
492	13689	2971
493	13720	2943
494	13753	2917
495	13780	2889
496	13805	2861
497	13832	2833
498	13860	2805
499	13887	2777
500	13915	2749
501	13946	2722
502	13975	2694
503	14000	2666
504	14031	2639
505	14057	2611
506	14085	2583
507	14116	2556
508	14143	2528
509	14171	2500
510	14200	2473
511	14231	2446
512	14260	2418
513	14284	2389
514	14313	2362
515	14339	2334
516	14367	2306
517	14395	2278
518	14425	2251
519	14452	2223
520	14476	2195
521	14507	2167
522	14535	2140
523	14562	2112
524	14588	2084
525	14615	2056
526	14642	2028
527	14669	2000
528	14698	1972
529	14725	1944
530	14754	1917
531	14780	1889
532	14808	1861
533	14840	1834
534	14863	1805
535	14889	1777
536	14915	1749
537	14943	1722
538	14967	1693
539	14997	1666
540	15024	1638
541	15052	1610
542	15077	1582
543	15101	1554
544	15127	1526
545	15158	1499
546	15232	1475
547	15259	1448
548	15289	1420
549	15314	1392
550	15341	1364
551	15365	1336
552	15393	1308
553	15421	1280
554	15452	1252
555	15478	1224
556	15509	1197
557	15534	1169
558	15558	1141
559	15583	1113
560	15613	1085
561	15638	1057
562	15661	1029
563	15686	1001
564	15715	973
565	15743	945
566	15777	918
567	15804	890
568	15831	862
569	15856	834
570	15884	806
571	15911	778
572	15940	751
573	15965	723
574	15991	695
575	16022	667
576	16047	639
577	16073	611
578	16102	584
579	16130	556
580	16155	528
581	16180	500
582	16204	472
583	16231	444
584	16254	416
585	16280	388
586	16310	361
587	16337	333
588	16364	305
589	16395	277
590	16425	250
591	16450	222
592	16477	194
593	16507	166
594	16544	139
595	16571	111
596	16602	83
597	16634	55
598	16659	27
599	16687	0
